logtaur, partially_ionized_mu, x_H, x_He_II, x_He_III
4.7401e-08,6.3307e-01,9.9998e-01,5.5494e-01,2.4659e-15
1.0197e-07,6.3385e-01,9.9997e-01,5.2377e-01,2.9520e-15
1.8768e-07,6.3473e-01,9.9996e-01,4.8873e-01,3.3859e-15
3.2258e-07,6.3603e-01,9.9994e-01,4.3737e-01,3.2376e-15
5.3550e-07,6.3748e-01,9.9992e-01,3.8053e-01,2.8328e-15
8.7270e-07,6.3918e-01,9.9989e-01,3.1388e-01,2.0743e-15
1.4091e-06,6.4101e-01,9.9983e-01,2.4301e-01,1.2577e-15
2.2671e-06,6.4290e-01,9.9974e-01,1.7049e-01,5.6948e-16
3.6493e-06,6.4435e-01,9.9959e-01,1.1639e-01,2.5116e-16
5.8950e-06,6.4548e-01,9.9934e-01,7.5570e-02,9.8276e-17
9.5792e-06,6.4634e-01,9.9894e-01,4.7299e-02,3.5315e-17
1.5688e-05,6.4706e-01,9.9825e-01,2.8020e-02,1.0880e-17
2.5917e-05,6.4780e-01,9.9694e-01,1.4979e-02,2.4547e-18
4.3173e-05,6.4885e-01,9.9424e-01,6.9348e-03,3.5496e-19
7.2398e-05,6.5075e-01,9.8851e-01,2.8587e-03,3.5626e-20
1.2190e-04,6.5420e-01,9.7764e-01,1.2060e-03,3.8001e-21
2.0546e-04,6.5976e-01,9.6026e-01,5.7848e-04,5.9440e-22
3.4572e-04,6.6770e-01,9.3588e-01,3.1866e-04,1.4036e-22
5.8004e-04,6.7786e-01,9.0546e-01,1.9945e-04,4.8359e-23
9.6934e-04,6.8911e-01,8.7287e-01,1.4332e-04,2.5125e-23
1.6110e-03,7.0045e-01,8.4103e-01,1.1513e-04,1.8146e-23
2.6583e-03,7.1149e-01,8.1102e-01,9.9916e-05,1.6412e-23
4.3482e-03,7.2194e-01,7.8346e-01,9.1793e-05,1.7481e-23
7.0409e-03,7.3099e-01,7.6023e-01,8.9406e-05,2.2081e-23
1.1277e-02,7.3784e-01,7.4303e-01,9.2633e-05,3.3491e-23
1.7857e-02,7.4141e-01,7.3420e-01,1.0337e-04,6.3542e-23
2.7946e-02,7.4127e-01,7.3453e-01,1.2459e-04,1.5239e-22
4.3220e-02,7.3674e-01,7.4577e-01,1.6498e-04,4.8813e-22
6.6067e-02,7.2833e-01,7.6700e-01,2.4026e-04,2.0980e-21
9.9882e-02,7.1687e-01,7.9671e-01,3.8685e-04,1.2329e-20
1.4953e-01,7.0366e-01,8.3216e-01,6.9115e-04,1.0037e-19
2.2206e-01,6.9016e-01,8.6977e-01,1.3770e-03,1.1535e-18
3.2804e-01,6.7788e-01,9.0518e-01,3.0465e-03,1.8550e-17
4.8418e-01,6.6782e-01,9.3489e-01,7.3851e-03,4.0363e-16
7.1803e-01,6.6004e-01,9.5778e-01,1.9501e-02,1.1843e-14
1.0762e+00,6.5404e-01,9.7372e-01,5.3813e-02,4.2630e-13
1.6354e+00,6.4841e-01,9.8403e-01,1.4454e-01,1.6374e-11
2.5145e+00,6.4153e-01,9.9036e-01,3.3465e-01,5.4339e-10
3.9126e+00,6.3373e-01,9.9417e-01,5.9708e-01,1.3503e-08
6.1770e+00,6.2772e-01,9.9648e-01,8.1232e-01,2.4882e-07
9.8410e+00,6.2458e-01,9.9784e-01,9.2442e-01,3.5129e-06
1.5685e+01,6.2324e-01,9.9865e-01,9.7008e-01,3.8987e-05
2.4922e+01,6.2267e-01,9.9912e-01,9.8732e-01,3.4781e-04
3.9524e+01,6.2236e-01,9.9942e-01,9.9206e-01,2.5500e-03
6.2679e+01,6.2193e-01,9.9960e-01,9.8200e-01,1.5521e-02
9.8640e+01,6.2044e-01,9.9972e-01,9.2424e-01,7.4585e-02
1.5067e+02,6.1649e-01,9.9978e-01,7.6060e-01,2.3885e-01
2.3076e+02,6.1045e-01,9.9982e-01,5.0455e-01,4.9522e-01
3.6684e+02,6.0504e-01,9.9983e-01,2.7034e-01,7.2957e-01
3.6807e+02,6.0501e-01,9.9983e-01,2.6909e-01,7.3082e-01


